k,wcss_train,silhouette_train,silhouette_test
2,195.35125732421875,0.17205606400966644,0.1963462084531784
3,180.37594604492188,0.14315466582775116,0.15242642164230347
4,173.43275451660156,0.09560207277536392,0.09391256421804428
5,168.11647033691406,0.08921877294778824,0.07943139225244522
6,163.25485229492188,0.09111248701810837,0.07829999923706055
7,159.23529052734375,0.08838286995887756,0.06660937517881393
8,156.239501953125,0.08803584426641464,0.06061146780848503
9,154.16033935546875,0.08414185047149658,0.06547673791646957
10,152.25018310546875,0.06250975281000137,0.043769728392362595
