kondisi,n_dimensi,silhouette_asli_train,silhouette_asli_test,silhouette_pca_test,ari_test,waktu_kmeans_s,waktu_total_s
Tanpa PCA,2048,0.17205606400966644,0.1963462084531784,0.1963462084531784,0.800417403510068,0.29501466100009566,0.29501466100009566
PCA 2,2,0.17205606400966644,0.1963462084531784,0.6085519790649414,0.800417403510068,0.008652947999507887,0.2083895380001195
